,id,t_title,h_title,cost_color,cost_value,description,act1_value,act1_type,act1_side,act2_value,act2_type,act2_side,act3_value,act3_type,act3_side,img_t,img_h
0,1,Mud Slinging,Mud Slinging,0,0,-4 Voters to both*+1 Free turn to you,-4,0,2,1,11,0,0,0,0,0001,1001
1,2,Poll Uptick,Poll Uptick,1,3,+2 Swing Voters to you,2,1,0,0,0,0,0,0,0,0002,1002
2,3,Positive Mention,Positive Mention,1,4,+3 Swing Voters to you,3,1,0,0,0,0,0,0,0,0003,1003
3,4,Press Lunch,Press Lunch,1,6,+2 Swing Voters to you*+4 Cash to you,2,1,0,4,5,0,0,0,0,0004,1004
4,5,Press Conference,Press Conference,1,8,+1 Media to you,1,6,0,0,0,0,0,0,0,0005,1005
5,6,Shake Hands,Shake Hands,3,3,+1 Partisans to you,1,2,0,0,0,0,0,0,0,0006,1006
6,7,Viral Video,Viral Video,3,4,+2 Partisans to you,2,2,0,0,0,0,0,0,0,0007,1007
7,8,YouTube Channel,YouTube Channel,3,5,+4 Partisans to you,4,2,0,0,0,0,0,0,0,0008,1008
8,9,Empty Promises,Empty Promises,3,8,+1 Mojo to you,1,7,0,0,0,0,0,0,0,0009,1009
9,10,The Deplorables,Volunteers,2,3,-2 Voters to opp,-2,0,1,0,0,0,0,0,0,0010,1010
10,11,Spin Doctors,Spin Doctors,2,6,+2 Swing Voters to you*+1 News to you,2,1,0,1,3,0,0,0,0,0011,1011
11,12,Peter Thiel,Madonna,2,8,+2 Swing Voters to you*+4 Hype to you,2,1,0,4,4,0,0,0,0,0012,1012
12,13,PAC,PAC,2,9,+1 Money to you,1,8,0,0,0,0,0,0,0,0013,1013
13,14,Blame ISIS,Blame ISIS,1,12,-4 Voters to opp,-4,0,1,0,0,0,0,0,0,0014,1014
14,15,Birthers,The Deplorables,1,14,-5 Voters to opp,-5,0,1,0,0,0,0,0,0,0015,1015
15,16,Scott Adams,Pepe the Frog,1,15,-9 Voters to opp,-9,0,1,0,0,0,0,0,0,0016,1016
16,17,Debates,Debates,1,18,+2 Media to you,2,6,0,0,0,0,0,0,0,0017,1017
17,18,Shift the Blame,Shift the Blame,3,12,+8 Swing Voters to you*+3 Partisans to you,8,1,0,3,2,0,0,0,0,0018,1018
18,19,Lipstick*on a Pig,Lipstick*on a Pig,3,14,+9 Swing Voters to you*+5 Partisans to you,9,1,0,5,2,0,0,0,0,0019,1019
19,20,Mock Opponent,Mock Opponent,3,15,+15 Partisans to you,15,2,0,0,0,0,0,0,0,0020,1020
20,21,Tweetstorm,Tweetstorm,3,18,+2 Mojo to you,2,7,0,0,0,0,0,0,0,0021,1021
21,22,Crowdfunding,Crowdfunding,2,12,+4 Swing Voters to you,4,1,0,0,0,0,0,0,0,0022,1022
22,23,Campaign*Finance Reform,Campaign Finance*Reform,2,12,-5 Swing Voters to you*+14 Partisans to you,-5,1,0,14,2,0,0,0,0,0023,1023
23,24,Tax Rich,Tax Rich,2,15,+8 Swing Voters to you*-5 Voters to opp,8,1,0,-5,0,1,0,0,0,0024,1024
24,25,SuperPAC,SuperPAC,2,18,+2 Money to you,2,8,0,0,0,0,0,0,0,0025,1025
25,26,Cash Shortage,Smoking Gun,0,0,-10 Voters to you*+5 Swing Voters to opp*+1 Free turn to you,-10,0,0,5,1,1,1,11,0,0026,1026
26,27,Angry Face,Sour Face,1,3,-2 Swing Voters to opp,-2,1,1,0,0,0,0,0,0,0027,1027
27,28,Blame*Media Bias,Julia Ioffe,1,3,+2 Swing Voters to you*-2 Swing Voters to opp,2,1,0,-2,1,1,0,0,0,0028,1028
28,29,Praise Putin,Delete Emails,1,7,+4 Swing Voters to you*+6 Partisans to you*-1 Media to you,4,1,0,6,2,0,-1,6,0,0029,1029
29,30,Pro-Gun,Gun Controls,1,9,-2 Voters to opp*+1 Money to you,-2,0,1,1,8,0,0,0,0,0030,1030
30,31,Obamacare,Biff Tannen Meme,3,3,-2 Voters to opp,-2,0,1,0,0,0,0,0,0,0031,1031
31,32,Shooter's iPhone,Merchandise*Censorship,3,7,+1 Media to you,1,6,0,0,0,0,0,0,0,0032,1032
32,33,Blame Muslims,Praise Muslims,3,7,+5 Swing Voters to you*+5 Partisans to you*-1 Mojo to you,5,1,0,5,2,0,-1,7,0,0033,1033
33,34,Crooked Hillary,Delete Account,3,9,+4 Partisans to you*-6 Voters to opp,4,2,0,-6,0,1,0,0,0,0034,1034
34,35,Red*Baseball Cap,Mock*Baseball Cap,2,3,+2 Swing Voters to you,2,1,0,0,0,0,0,0,0,0035,1035
35,36,Make America*Great Again,Elect Me*I Am a Woman,2,5,+2 Swing Voters to you*+1 Mojo to you,2,1,0,1,7,0,0,0,0,0036,1036
36,37,Shoot People*in the Street,Blame*Russkie Hackers,2,7,+6 Swing Voters to you*+4 Partisans to you*-1 Money to you,6,1,0,4,2,0,-1,8,0,0037,1037
37,38,Ivanka Trump,Melanie's Speech,2,9,+6 Partisans to you*-4 Partisans to opp,6,2,0,-4,2,1,0,0,0,0038,1038
38,39,Liberal Outrage,Media Bias,1,13,-2 Swing Voters to you*+8 Partisans to you*-1 Media to opp,-2,1,0,8,2,0,-1,6,1,0039,1039
39,40,Sick Hillary,Campus Rape,1,17,+4 Swing Voters to you*+12 Partisans to you,4,1,0,12,2,0,0,0,0,0040,1040
40,41,The Apprentice,National Convention,1,19,+2 Media to you,2,6,0,0,0,0,0,0,0,0041,1041
41,42,FBI*Laptop Probe,Gerrymandering,3,11,+3 Partisans to you*-9 Partisans to opp,3,2,0,-9,2,1,0,0,0,0042,1042
42,43,Mass*Deportations,Google*Censorship,3,17,+12 Partisans to you*-1 Money to opp,12,2,0,-1,8,1,0,0,0,0043,1043
43,44,Mexican Wall,Immigration*Reform,3,19,+2 Mojo to you,2,7,0,0,0,0,0,0,0,0044,1044
44,45,Tea Party,Bernie Sanders,2,13,-8 Voters to opp,-8,0,1,0,0,0,0,0,0,0045,1045
45,46,Praise Brexit,Facebook*Censorship,2,15,-12 Voters to opp*-1 Mojo to opp,-12,0,1,-1,7,1,0,0,0,0046,1046
46,47,Trump Casino*Taxes,Clinton*Foundation,2,19,+2 Money to you,2,8,0,0,0,0,0,0,0,0047,1047
47,48,Clinton*Foundation,Black Lives*Matter,1,25,+20 Swing Voters to you*-20 Voters to opp,20,1,0,-20,0,1,0,0,0,0048,1048
48,49,Libya Embassy,Grab Pussy,3,25,+5 Swing Voters to you*+15 Partisans to you*-20 Partisans to opp,5,1,0,15,2,0,-20,2,1,0049,1049
49,50,Emailgate,Blame Putin,2,25,+15 Swing Voters to you*-25 Voters to opp,15,1,0,-25,0,1,0,0,0,0050,1050
50,51,Denver Airport,Denver Airport,0,0,-10 Voters to both*-4 all resources to both,-10,0,2,-4,9,2,0,0,0,0051,1051
51,52,Snowden,Snowden,0,0,-15 Voters to both*-1 all assets to both,-15,0,2,-1,10,2,0,0,0,0052,1052
52,53,WikiLeaks,WikiLeaks,0,0,-10 Partisans to you*+10 Swing Voters to opp,-10,2,0,10,1,1,0,0,0,0053,1053
53,54,Election Fraud,Election Fraud,0,99,-999 Voters to both*Both players lose*Game over,-999,0,2,0,0,0,0,0,0,0054,1054
